Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2021-12-17,9.03e-05,9.29e-05,8.51e-05,9.01e-05,236905.54,1639785599999000000,20.98477342,4156,114693.39,10.15238867
2021-12-18,9.02e-05,0.0001027,8.86e-05,9.64e-05,302934.91,1639871999999000000,29.07223,6573,163218.43,15.67901974
2021-12-19,9.66e-05,0.0001059,9.17e-05,0.0001002,284851.7,1639958399999000000,28.0961419,5679,151877.7,15.01783604
2021-12-20,0.0001004,0.0001036,9.11e-05,9.5e-05,269219.64,1640044799999000000,25.88786482,5936,132375.51,12.78609906
2021-12-21,9.56e-05,0.0001313,9.13e-05,0.0001126,1076114.24,1640131199999000000,123.14201304,20100,581024.43,66.1464171
2021-12-22,0.0001128,0.0001329,0.0001128,0.0001179,785373.82,1640217599999000000,95.58150663,14989,396864.44,48.38208579
2021-12-23,0.0001183,0.0001272,0.000116,0.0001212,341876.68,1640303999999000000,41.41282591,7544,183824.8,22.25553492
2021-12-24,0.000121,0.0001302,0.0001088,0.0001096,328851.03,1640390399999000000,38.85179515,7270,138109.73,16.37514314
2021-12-25,0.0001098,0.0001163,0.000109,0.0001113,172666.0,1640476799999000000,19.35880338,2456,82056.65,9.23318424
2021-12-26,0.0001115,0.0001123,0.0001027,0.0001064,231323.17,1640563199999000000,24.68378779,5045,90536.11,9.67926447
2021-12-27,0.0001067,0.0001107,0.0001016,0.0001019,233368.32,1640649599999000000,24.79120692,3191,105771.34,11.26192966
2021-12-28,0.0001016,0.0001076,9.84e-05,0.0001027,235694.82,1640735999999000000,24.20498324,3839,120657.2,12.45237675
2021-12-29,0.0001032,0.0001052,9.64e-05,9.93e-05,305003.93,1640822399999000000,30.69032892,3682,146684.54,14.79480571
2021-12-30,9.95e-05,0.000105,9.59e-05,9.76e-05,290184.54,1640908799999000000,28.6877389,3431,133602.14,13.23213592
2021-12-31,9.8e-05,0.0001054,9.63e-05,9.99e-05,175222.43,1640995199999000000,17.50694349,2423,95873.55,9.60083117
2022-01-01,0.0001,0.0001019,9.35e-05,0.0001003,224714.42,1641081599999000000,21.77941059,2779,102689.81,9.99965044
2022-01-02,0.0001003,0.0001025,9.59e-05,9.69e-05,90411.6,1641167999999000000,8.92674305,1650,37478.32,3.70046681
2022-01-03,9.69e-05,0.0001172,9.61e-05,0.0001134,468476.46,1641254399999000000,50.88011667,7316,239721.83,25.82918445
2022-01-04,0.0001135,0.0001185,0.0001025,0.0001048,468837.42,1641340799999000000,50.40174115,9009,174028.27,18.88179072
2022-01-05,0.0001049,0.0001094,9.43e-05,9.82e-05,555363.23,1641427199999000000,57.53488102,7968,254220.0,26.47888241
2022-01-06,9.83e-05,0.0001023,9.47e-05,9.67e-05,652448.66,1641513599999000000,63.57011507,7514,333424.09,32.54154121
