Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2020-07-22,245.53,269.61,241.51,263.74,718417.68296,1595462399999000000,180692677.21395633,273546,382255.4506,96136746.645784
2020-07-23,263.75,279.98,259.7,275.3,1068774.57879,1595548799999000000,287217202.7201216,378573,548027.77647,147366131.5261759
2020-07-24,275.31,287.34,266.0,279.15,926033.06692,1595635199999000000,256347245.548149,362608,467152.58946,129363215.3019384
2020-07-25,279.15,308.94,279.09,305.26,1058927.30554,1595721599999000000,308799629.3611433,424683,546337.36919,159353784.4987877
2020-07-26,305.31,318.75,299.0,311.0,1270368.753,1595807999999000000,392346895.3226708,486058,629296.22696,194398665.5530202
2020-07-27,311.02,333.31,310.78,321.93,1636122.34727,1595894399999000000,527292799.28791374,645395,818454.59042,263886380.58021328
2020-07-28,321.95,326.8,305.86,316.77,1093231.55578,1595980799999000000,346187853.275929,458451,526272.91372,166776146.1877363
2020-07-29,316.77,325.0,312.38,317.71,792802.32148,1596067199999000000,254201662.1334094,347597,403407.16614,129383921.490198
2020-07-30,317.76,342.0,314.05,334.87,1008827.56698,1596153599999000000,328286452.5182911,410721,548703.63674,178728061.8505963
2020-07-31,334.82,349.45,328.4,346.33,948088.44982,1596239999999000000,323282981.0159196,461788,479449.06541,163562313.7499186
2020-08-01,346.32,392.67,343.07,387.0,1440843.34203,1596326399999000000,527543444.8628841,598900,763925.60566,279585883.3970017
2020-08-02,387.01,415.85,325.0,372.42,2324909.09616,1596412799999000000,878397036.2975191,960835,1147802.64923,434515635.4895582
2020-08-03,372.45,398.0,366.5,385.94,1191565.09389,1596499199999000000,462170587.4785027,534803,594188.68302,230529343.39225328
2020-08-04,385.91,402.98,380.77,389.61,1180792.42379,1596585599999000000,461794422.2048685,503335,580630.09812,227199384.2221528
2020-08-05,389.59,407.0,384.11,400.72,1124119.0672,1596671999999000000,444335097.14939296,459722,569086.53448,225101645.7365252
2020-08-06,400.72,403.66,390.51,394.77,821379.08397,1596758399999000000,325718417.7160069,388529,403029.86304,159852195.1467798
2020-08-07,394.77,398.26,362.85,379.34,1041207.35946,1596844799999000000,398625567.063912,466548,499790.82669,191569557.52234408
2020-08-08,379.34,397.05,375.79,397.03,623029.78053,1596931199999000000,240999198.0242852,300577,325760.87681,126105849.0951824
2020-08-09,397.05,400.0,383.36,390.14,594900.58133,1597017599999000000,233057462.9273968,319111,294055.13111,115294493.9973812
2020-08-10,390.14,399.18,385.13,395.44,826969.90633,1597103999999000000,326372434.89705914,395123,409673.34569,161732201.7057328
2020-08-11,395.43,398.21,367.0,379.0,992412.6023,1597190399999000000,381981614.62167233,459623,465088.67076,179106068.4075495
2020-08-12,378.99,389.23,365.85,387.18,751848.7983,1597276799999000000,285872467.6440937,349082,378876.83493,144127095.7305977
2020-08-13,387.18,431.49,376.59,424.54,1511330.7732,1597363199999000000,604810975.1318569,634978,786249.64387,314657280.9963927
2020-08-14,424.54,444.71,417.05,438.11,1109670.94324,1597449599999000000,477180580.0618325,502635,551666.8965,237162820.576871
2020-08-15,438.12,442.94,427.02,432.32,681698.5971,1597535999999000000,296652970.4823194,351377,332354.72985,144668622.3455178
2020-08-16,432.3,436.99,412.47,433.62,716666.25258,1597622399999000000,305445885.81667,371807,345142.26171,147116639.2633325
2020-08-17,433.61,446.0,420.37,430.89,868870.64996,1597708799999000000,375038999.5075165,443560,434882.89599,187814884.6658041
2020-08-18,430.89,433.81,415.0,421.95,743254.57018,1597795199999000000,316635286.99292165,374074,356765.97549,152053040.6334838
2020-08-19,421.92,426.75,393.25,407.46,978339.69221,1597881599999000000,400208683.34672713,455992,457547.57265,187156985.82537448
2020-08-20,407.46,418.98,402.07,415.94,663555.73445,1597967999999000000,273292342.1903448,322537,336116.41655,138426936.6411155
2020-08-21,415.94,418.68,385.1,387.97,860998.7256,1598054399999000000,347455883.4533063,414222,395087.31195,159527686.5006896
2020-08-22,387.93,397.04,379.92,395.24,643235.76543,1598140799999000000,250069873.3972314,305450,315092.64001,122564498.4242119
2020-08-23,395.23,396.95,383.15,390.71,445317.81989,1598227199999000000,173799978.0351114,222729,218347.50764,85211118.0073004
2020-08-24,390.72,410.42,387.44,407.68,717403.81877,1598313599999000000,287991794.2205841,307676,374389.16218,150318604.2070669
2020-08-25,407.68,409.06,370.0,382.93,970445.38395,1598399999999000000,375681480.18694305,411636,463076.7501,179300083.7285885
2020-08-26,382.91,392.91,377.37,385.81,738690.7794,1598486399999000000,284504413.0936192,351141,372284.31302,143413331.4031795
2020-08-27,385.81,397.1,371.48,383.27,877763.73658,1598572799999000000,336647752.2942245,392116,441967.74994,169506712.897375
2020-08-28,383.31,398.0,379.75,395.11,732601.46905,1598659199999000000,286555001.9941838,311832,376745.79555,147371987.0735345
2020-08-29,395.1,405.69,391.88,398.65,659802.63344,1598745599999000000,263787683.02808368,300090,335970.72742,134324057.7742914
2020-08-30,398.65,429.89,398.3,428.94,894979.71788,1598831999999000000,370467271.0990347,395838,454113.30749,188019162.80121008
2020-08-31,428.94,439.0,418.04,433.79,1040748.68881,1598918399999000000,447866996.1851148,456201,521857.12047,224568024.6067336
2020-09-01,433.8,488.84,429.03,475.4,1751354.57719,1599004799999000000,813662129.650488,763508,869375.35063,403711776.2255797
2020-09-02,475.4,481.39,420.0,439.5,1880642.46853,1599091199999000000,844475154.7160804,825133,930825.55373,418025683.68122715
2020-09-03,439.5,450.7,372.0,381.4,2408569.34151,1599177599999000000,995567239.0084028,903066,1163309.47153,481135153.4002324
2020-09-04,381.35,400.21,357.0,385.26,1806488.22474,1599263999999000000,696658932.1154275,744610,898001.98862,346399148.7543491
2020-09-05,385.3,395.0,308.42,335.01,2777166.51389,1599350399999000000,967730464.9055165,1074986,1359142.30847,474118503.4567232
2020-09-06,335.04,360.0,316.1,352.8,2017811.14721,1599436799999000000,691925087.3968109,852597,1001126.65908,343097243.97381234
2020-09-07,352.85,358.51,323.0,353.59,1740618.42462,1599523199999000000,596754172.7008404,708066,875520.99803,300098826.3123079
2020-09-08,353.59,356.58,325.38,337.39,1400246.82962,1599609599999000000,476444912.54463506,554846,683844.91475,232727441.34534672
2020-09-09,337.41,359.0,330.51,350.85,879760.56255,1599695999999000000,304910633.8008896,381038,450864.78551,156362634.9257661
2020-09-10,350.85,377.25,349.91,367.93,1134287.61137,1599782399999000000,416598205.666048,512819,564874.99855,207485762.511112
2020-09-11,367.93,375.27,355.49,373.63,844017.59966,1599868799999000000,308822715.1336563,367615,423159.48329,154876994.8974098
2020-09-12,373.62,388.57,364.73,387.78,766542.31635,1599955199999000000,287133871.2472908,318774,391980.78732,146905887.1470352
2020-09-13,387.78,390.43,350.0,366.42,989195.69047,1600041599999000000,367969518.5134887,430236,471379.9413,175392358.3793357
2020-09-14,366.43,384.64,355.73,377.12,1042059.62265,1600127999999000000,387238794.6809715,476828,520997.62714,193631762.5656466
2020-09-15,377.12,382.47,362.34,364.06,883856.33005,1600214399999000000,328317009.5683461,405048,425660.93557,158082601.8365355
2020-09-16,364.05,373.45,355.0,365.11,841709.98939,1600300799999000000,306622238.0715521,371665,401737.07122,146390592.3328032
2020-09-17,365.04,394.14,363.3,389.36,1256300.411,1600387199999000000,479026710.89661473,505247,649410.54624,247663754.9496812
2020-09-18,389.35,392.58,375.33,384.39,804194.47219,1600473599999000000,308748579.8160324,323159,390631.14787,150003338.3348206
2020-09-19,384.4,388.72,377.0,385.25,570908.33553,1600559999999000000,218785730.14017847,230924,275383.50997,105557594.2542093
2020-09-20,385.25,385.45,365.0,371.04,693164.40144,1600646399999000000,259700927.47821033,275295,339273.53425,127111732.991067
2020-09-21,371.04,376.8,331.0,340.36,1283946.03098,1600732799999000000,452134893.63405806,472560,614255.13337,216255854.30576968
2020-09-22,340.31,346.91,335.34,344.21,842731.12878,1600819199999000000,288166815.515037,286593,406238.87933,138901899.7512951
2020-09-23,344.18,344.65,313.29,320.72,940904.49756,1600905599999000000,313808761.0904388,323226,451952.70895,150859607.7649499
2020-09-24,320.72,353.1,316.67,348.97,1071705.09721,1600991999999000000,360708689.40437967,371450,541195.93188,182260574.8369691
2020-09-25,348.97,358.0,337.58,351.92,860643.77924,1601078399999000000,298266918.80064845,310536,428498.41778,148520979.7155327
2020-09-26,351.93,356.4,345.88,353.92,530879.20755,1601164799999000000,186812160.37543687,217834,265973.62355,93597365.186279
2020-09-27,353.95,362.14,347.24,357.49,569568.55041,1601251199999000000,202411362.68323287,230526,278104.49527,98851342.5173505
2020-09-28,357.58,368.2,351.7,353.96,757758.4304,1601337599999000000,273063157.78999114,261317,365322.52821,131705221.4936588
2020-09-29,353.91,360.63,350.45,359.79,585143.16892,1601423999999000000,208028826.4871165,214988,296028.84893,105268925.8029457
2020-09-30,359.78,361.5,351.56,359.83,498943.23226,1601510399999000000,177784824.5178192,173910,258138.87585,92021033.1170965
2020-10-01,359.83,370.45,345.51,352.85,758349.31959,1601596799999000000,271468849.7985116,288354,361455.09687,129606992.6234027
2020-10-02,352.83,354.55,334.24,345.6,733571.84211,1601683199999000000,251829017.5194802,286023,359044.99342,123230178.0144074
2020-10-03,345.6,351.0,343.7,345.95,303595.71901,1601769599999000000,105401893.3573436,136755,157899.99434,54819449.944697
