Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2020-08-11,2.85,3.5208,2.8433,3.2985,1552384.78,1597190399999000000,4939148.938107,13490,741770.79,2370192.681119
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.95,1597276799999000000,6176153.724638,21118,889133.5,3161944.268817
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.24,1597363199999000000,6446567.98049,22922,716358.46,2755764.748006
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.79,1597449599999000000,5205834.095977,18581,578651.84,2048896.655467
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2,1597535999999000000,3658005.622202,13903,439623.97,1510472.729568
2020-08-16,3.173,3.4907,3.12,3.3885,668106.53,1597622399999000000,2227715.62781,10659,267439.48,896424.218505
2020-08-17,3.3885,3.3952,3.1,3.11,729413.64,1597708799999000000,2355329.78763,8632,258191.89,833604.429817
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.94,1597795199999000000,8885306.133224,27415,1276599.28,4211377.733932
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76,1597881599999000000,4380403.488824,17076,487245.28,1491949.575963
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32,1597967999999000000,4078240.331482,14169,654313.24,2100682.285326
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9,1598054399999000000,3480342.67494,12957,435955.04,1340925.254726
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78,1598140799999000000,3433997.193736,10427,535610.79,1579335.779896
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.69,1598227199999000000,3846250.69637,11455,701976.44,2259165.675399
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06,1598313599999000000,4504839.417218,15317,634212.19,2181573.743108
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.37,1598399999999000000,3629890.757954,14226,477028.87,1506233.260046
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56,1598486399999000000,8065581.239321,23980,1256407.83,4427331.468248
2020-08-27,3.5557,3.8575,3.2434,3.4501,2412974.8,1598572799999000000,8578461.964527,25784,1158014.83,4141258.621262
2020-08-28,3.4503,4.3091,3.4503,4.0063,2581936.84,1598659199999000000,10089370.365356,30430,1416811.61,5532658.687141
2020-08-29,4.007,4.1121,3.7748,3.9535,1342844.2,1598745599999000000,5290923.089625,19319,589471.19,2328966.080747
2020-08-30,3.9531,4.7117,3.9,4.4309,1815681.99,1598831999999000000,7967065.168313,26712,864714.97,3787277.378479
2020-08-31,4.4127,4.8865,4.1,4.7435,1497129.12,1598918399999000000,6664671.747242,23396,829785.03,3715511.862808
2020-09-01,4.7432,4.9475,4.3,4.3397,1267574.76,1599004799999000000,5871722.637441,20174,626210.98,2914616.459194
2020-09-02,4.3213,4.3506,3.66,4.17,2002058.36,1599091199999000000,8136932.352629,25545,872236.99,3553812.071207
2020-09-03,4.17,4.459,3.4772,3.5051,3275612.26,1599177599999000000,12941589.824478,37166,1415415.57,5628686.608088
2020-09-04,3.5062,3.8346,3.1739,3.5301,2052197.24,1599263999999000000,7262296.371156,23918,892868.07,3167604.520482
2020-09-05,3.5301,3.6637,2.0926,2.6052,4426267.38,1599350399999000000,11872722.479966,36221,1667142.8,4417379.508314
2020-09-06,2.6119,3.18,2.2575,3.0941,2898758.91,1599436799999000000,7940868.463262,24763,1441533.05,3961686.65227
2020-09-07,3.0785,3.1983,2.38,2.9237,2680083.17,1599523199999000000,7269853.908694,20763,1237117.42,3357706.94438
2020-09-08,2.9237,2.9499,2.4,2.468,1626389.7,1599609599999000000,4163484.174943,17527,594993.2,1526237.016922
2020-09-09,2.468,3.8838,2.3821,3.6001,6691121.99,1599695999999000000,22147440.589737,54509,3343480.12,11062516.969111
2020-09-10,3.6107,3.875,3.304,3.4761,4356890.66,1599782399999000000,15482088.381925,47297,2075976.54,7395169.700589
2020-09-11,3.4707,3.5036,3.0316,3.3965,2227636.94,1599868799999000000,7208721.224244,23696,905328.95,2940779.297983
